fieldmap_name:     	SWLS Sirius
timestamp:         	2022-06-03_15-37-29
filename:          	2022-06-03_SWLS_Sirius_Model8_Z=0_600mm_I=228A.txt
MagNet_file:       	SWLS_Sirius_Model8.0_v2.mn
nr_magnets:        	1

magnet_name:       	SWLS
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	0	0	0	-6,32292445991148	-4,49391789610679E-16
0	0	0,1	0	-6,32275322687354	-4,49379619495117E-16
0	0	0,2	0	-6,32225374320915	-4,49344119488871E-16
0	0	0,3	0	-6,32142600891832	-4,4928528959194E-16
0	0	0,4	0	-6,32027002400105	-4,49203129804325E-16
0	0	0,5	-8,98194713206518E-16	-6,3187817993034	6,73646034904889E-16
0	0	0,6	-8,97935551278847E-16	-6,31695860033822	6,73451663459135E-16
0	0	0,7	-8,97629427202656E-16	-6,31480502359977	6,73222070401992E-16
0	0	0,8	-8,97276340977946E-16	-6,31232106908804	6,72957255733459E-16
0	0	0,9	-8,96876292604717E-16	-6,30950673680303	6,72657219453538E-16
0	0	1	-8,96429282082969E-16	-6,30636202674475	6,72321961562227E-16
0	0	1,1	-8,95915149760416E-16	-6,30288693891318	6,61844963611741E-16
0	0	1,2	-8,95372827265727E-16	-6,29908147330834	6,60522033034389E-16
0	0	1,3	-8,9478354262252E-16	-6,29494562993023	6,59163880845646E-16
0	0	1,4	-8,94171618510786E-16	-6,29047940877884	6,7062871388309E-16
0	0	1,5	-8,93464086890548E-16	-6,28568280985417	6,56341911633994E-16
0	0	1,6	0	-6,28004780756054	0
0	0	1,7	0	-6,27426210160579	0
0	0	1,8	0	-6,26807639497315	0
0	0	1,9	0	-6,26149068766262	0
0	0	2	0	-6,25450497967421	0
0	0	2,1	0	-6,24711927100791	0
0	0	2,2	0	-6,23933356166372	0
0	0	2,3	0	-6,23114785164165	0
0	0	2,4	0	-6,22256214094169	0
0	0	2,5	0	-6,21357642956385	0
0	0	2,6	0	-6,20419071750812	0
0	0	2,7	0	-6,1944050047745	0
0	0	2,8	-6,59190367772388E-16	-6,18342147956581	-1,63793630242473E-15
0	0	2,9	-6,5794982439956E-16	-6,17243356788606	-1,69206969973258E-15
0	0	3	0	-6,16296771827121	0
0	0	3,1	0	-6,15124262675633	0
0	0	3,2	0	-6,1389330201713	0
0	0	3,3	0	-6,12603889851611	0
0	0	3,4	0	-6,11308833599469	0
0	0	3,5	0	-6,09905767698911	0
0	0	3,6	0	-6,0844587821654	0
0	0	3,7	0	-6,06929165152358	0
0	0	3,8	0	-6,05355628506363	0
0	0	3,9	0	-6,03725268278556	0
0	0	4	0	-6,02038084468937	0
0	0	4,1	0	-6,00294077077506	0
0	0	4,2	0	-5,98493246104263	0
0	0	4,3	0	-5,96635591549208	0
0	0	4,4	0	-5,94800141461013	0
0	0	4,5	0	-5,92848987719737	0
0	0	4,6	0	-5,90839915755759	0
0	0	4,7	0	-5,88772925569081	0
0	0	4,8	0	-5,86648017159701	0
0	0	4,9	0	-5,84465190527622	0
0	0	5	0	-5,82224445672841	0
0	0	5,1	0	-5,79925782595359	0
0	0	5,2	0	-5,77569201295177	0
0	0	5,3	0	-5,75154701772293	0
0	0	5,4	0	-5,72605448922122	0
0	0	5,5	0	-5,70083373277155	0
0	0	5,6	0	-5,67511952481402	0
0	0	5,7	0	-5,64891186534864	0
0	0	5,8	0	-5,6222107543754	0
0	0	5,9	0	-5,58866751026541	0
0	0	6	0	-5,56212681739858	0
0	0	6,1	0	-5,53551767940517	0
0	0	6,2	0	-5,50884009628518	0
0	0	6,3	0	-5,48209406803861	0
0	0	6,4	0	-5,45527959466546	0
0	0	6,5	0	-5,42839667616574	0
0	0	6,6	0	-5,40144531253943	0
0	0	6,7	-1,52486763046786E-15	-5,361117331562	9,1264077846917E-16
0	0	6,8	-1,5150105329885E-15	-5,33395466940041	7,28580831950726E-16
0	0	6,9	-1,5082807093241E-15	-5,30679096912664	7,5414035466205E-16
0	0	7	-1,50123883866982E-15	-5,27962623074068	9,01077484566475E-16
0	0	7,1	-1,49440785741266E-15	-5,25246045424252	1,19882922639735E-15
0	0	7,2	-1,48585189597498E-15	-5,22529363963218	1,04417688111238E-15
0	0	7,3	-1,47781857587506E-15	-5,19812578690965	1,0403276223933E-15
0	0	7,4	-1,46967434377386E-15	-5,17095689607492	7,34837171886928E-16
0	0	7,5	0	-5,14581204617882	0
0	0	7,6	0	-5,11802211112024	0
0	0	7,7	0	-5,09037048335449	0
0	0	7,8	0	-5,06285716288154	0
0	0	7,9	0	-5,0354821497014	0
0	0	8	0	-5,00851459037392	0
0	0	8,1	0	-4,9812718044747	0
0	0	8,2	0	-4,9541822372834	0
0	0	8,3	0	-4,92724588880003	0
0	0	8,4	0	-4,9004627590246	0
0	0	8,5	0	-4,87383284795708	0
0	0	8,6	0	-4,8473561555975	0
0	0	8,7	0	-4,82103268194583	0
0	0	8,8	0	-4,7948624270021	0
0	0	8,9	0	-4,7688453907663	0
0	0	9	0	-4,74298157323842	0
0	0	9,1	0	-4,71727097441846	0
0	0	9,2	0	-4,69244705717423	0
0	0	9,3	0	-4,66686366561788	0
0	0	9,4	0	-4,64133859943361	0
0	0	9,5	0	-4,61587185862139	0
0	0	9,6	0	-4,59046344318122	0
0	0	9,7	0	-4,56511335311312	0
0	0	9,8	0	-4,53982158841708	0
0	0	9,9	0	-4,51458814909309	0
